Name,Country,Designation,Amphibians,Birds,Mammals,Taxonomic Groups,Time period
Abasumba,GHA,Forest Reserve,1,1,0,2,2011-2040
Abeanou,CIV,Classified Forest,0,1,1,2,2011-2040
Abouderessou,CIV,Classified Forest,1,1,1,3,2011-2040
Adzope,CIV,Classified Forest,1,1,0,2,2011-2040
Agbo,CIV,Classified Forest,1,1,1,3,2011-2040
Ahirasu (Blocks I & II),GHA,Forest Reserve,1,1,0,2,2011-2040
Ahua,CIV,Classified Forest,1,1,1,3,2011-2040
Akrobong,GHA,Forest Reserve,0,1,1,2,2011-2040
Amou-Mono,TGO,Forest Reserve,1,1,1,3,2011-2040
Ananguie,CIV,Classified Forest,1,1,0,2,2011-2040
Anhwiaso East,GHA,Forest Reserve,1,1,0,2,2011-2040
Arrah,CIV,Classified Forest,0,1,1,2,2011-2040
Banie,GIN,Classified Forest,1,1,1,3,2011-2040
Besso,CIV,Classified Forest,1,1,0,2,2011-2040
Bodio Doubele,CIV,Classified Forest,1,1,1,3,2011-2040
Boli,CIV,Classified Forest,0,1,1,2,2011-2040
Bong Mountain,LBR,National Park,1,0,1,2,2011-2040
Bongouanou,CIV,Classified Forest,1,1,1,3,2011-2040
Bonsa Ben,GHA,Forest Reserve,1,1,0,2,2011-2040
Classified Forest Name Unknown (CIV) No.22,CIV,Classified Forest,0,1,1,2,2011-2040
Classified Forest Name Unknown (CIV) No.30,CIV,Classified Forest,1,0,1,2,2011-2040
Classified Forest Name Unknown (CIV) No.31,CIV,Classified Forest,1,1,1,3,2011-2040
Classified Forest Name Unknown (CIV) No.36,CIV,Classified Forest,0,1,1,2,2011-2040
Classified Forest Name Unknown (CIV) No.45,CIV,Classified Forest,1,0,1,2,2011-2040
Classified Forest Name Unknown (CIV) No.46,CIV,Classified Forest,1,1,0,2,2011-2040
Classified Forest Name Unknown (CIV) No.49,CIV,Classified Forest,1,1,1,3,2011-2040
Classified Forest Name Unknown (CIV) No.50,CIV,Classified Forest,1,1,0,2,2011-2040
Classified Forest Name Unknown (CIV) No.51,CIV,Classified Forest,1,1,1,3,2011-2040
Classified Forest Name Unknown (CIV) No.55,CIV,Classified Forest,0,1,1,2,2011-2040
Classified Forest Name Unknown (CIV) No.56,CIV,Classified Forest,1,1,1,3,2011-2040
Classified Forest Name Unknown (CIV) No.57,CIV,Classified Forest,1,1,1,3,2011-2040
Classified Forest Name Unknown (CIV) No.64,CIV,Classified Forest,1,1,1,3,2011-2040
Classified Forest Name Unknown (CIV) No.72,CIV,Classified Forest,1,1,0,2,2011-2040
Dan,BEN,Classified Forest,1,1,0,2,2011-2040
De,CIV,Classified Forest,1,1,1,3,2011-2040
Disue River,GHA,Forest Reserve,1,1,0,2,2011-2040
Divo,CIV,Botanical Reserve,0,1,1,2,2011-2040
Draw River,GHA,Forest Reserve,1,0,1,2,2011-2040
Ebrinenou,CIV,Classified Forest,1,1,1,3,2011-2040
Fada Archei,TCD,Faunal Reserve,0,1,1,2,2011-2040
Gboi Hills,SLE,Forest Reserve,1,1,0,2,2011-2040
Gorke,CIV,Classified Forest,1,1,0,2,2011-2040
Goudi,CIV,Classified Forest,1,0,1,2,2011-2040
Zone d'Intérêt Cynégétique d'Inekar,MLI,Hunting Area,0,1,1,2,2011-2040
Jeni River,GHA,Forest Reserve,1,1,0,2,2011-2040
Kambui Hills and Extensions,SLE,Forest Reserve,1,0,1,2,2011-2040
Kassa,CIV,Classified Forest,1,1,0,2,2011-2040
Kavi,CIV,Classified Forest,1,1,0,2,2011-2040
Kravassou,CIV,Classified Forest,1,1,1,3,2011-2040
Lakes of Ounianga,TCD,World Heritage Site,1,1,1,3,2011-2040
Mando,CIV,Classified Forest,1,1,1,3,2011-2040
Marahoue,CIV,Classified Forest,1,1,0,2,2011-2040
Matiemba,CIV,Classified Forest,1,1,1,3,2011-2040
Mkar,NGA,Forest Reserve,1,1,0,2,2011-2040
Monogaga,CIV,Classified Forest,1,1,1,3,2011-2040
Mopri,CIV,Classified Forest,1,1,0,2,2011-2040
Ndokouassikro,CIV,Classified Forest,1,1,1,3,2011-2040
Oasis du Kawar,NER,"Ramsar Site, Wetland of International Importance",1,1,1,3,2011-2040
Obotumfo Hills,GHA,Forest Reserve,1,1,1,3,2011-2040
Obrachere 1,GHA,Forest Reserve,1,1,0,2,2011-2040
Obrachere,GHA,Forest Reserve,1,1,0,2,2011-2040
Offumpo,CIV,Classified Forest,1,1,1,3,2011-2040
Opimbo,GHA,Forest Reserve,1,1,0,2,2011-2040
Osomari,NGA,Forest Reserve,1,0,1,2,2011-2040
Otamiri,NGA,Forest Reserve,1,0,1,2,2011-2040
Owabi,GHA,"Ramsar Site, Wetland of International Importance",1,1,0,2,2011-2040
Owabi,GHA,Wildlife Sanctuary,1,1,0,2,2011-2040
Plaine des Elephants,CIV,Classified Forest,0,1,1,2,2011-2040
Sab-Sabre,SEN,Not Reported,0,1,1,2,2011-2040
Seguela,CIV,Classified Forest,1,1,1,3,2011-2040
Seguie,CIV,Classified Forest,1,1,0,2,2011-2040
Taabo,CIV,Classified Forest,1,1,0,2,2011-2040
Tchilla-Monota,TGO,Forest Reserve,1,1,0,2,2011-2040
Tete,CIV,Classified Forest,0,1,1,2,2011-2040
Zone d'Intérêt Cynégétique de Tin Achara,MLI,Hunting Area,0,1,1,2,2011-2040
Tiwai Island Sanctuary,SLE,Game Sanctuary / Non-hunting Forest Reserve,1,1,1,3,2011-2040
Ukpam,NGA,Forest Reserve,1,0,1,2,2011-2040
Vavoua,CIV,Classified Forest,0,1,1,2,2011-2040
Yandev,NGA,Forest Reserve,0,1,1,2,2011-2040
Yoyo River,GHA,Forest Reserve,1,1,0,2,2011-2040
Abasumba,GHA,Forest Reserve,1,1,1,3,2041-2070
Abouderessou,CIV,Classified Forest,1,0,1,2,2041-2070
Ahirasu (Blocks I & II),GHA,Forest Reserve,1,1,0,2,2041-2070
Ahua,CIV,Classified Forest,1,0,1,2,2041-2070
Akrobong,GHA,Forest Reserve,1,1,0,2,2041-2070
Banie,GIN,Classified Forest,1,1,0,2,2041-2070
Classified Forest Name Unknown (CIV) No.63,CIV,Classified Forest,1,1,0,2,2041-2070
Classified Forest Name Unknown (CIV) No.64,CIV,Classified Forest,1,1,1,3,2041-2070
Classified Forest Name Unknown (CIV) No.67,CIV,Classified Forest,0,1,1,2,2041-2070
Dechidan Stream,GHA,Forest Reserve,1,1,1,3,2041-2070
Kalakpa,GHA,Game Production Reserve,1,1,0,2,2041-2070
Kassa,CIV,Classified Forest,0,1,1,2,2041-2070
Kavi,CIV,Classified Forest,0,1,1,2,2041-2070
Lakes of Ounianga,TCD,World Heritage Site,1,1,1,3,2041-2070
Monogaga,CIV,Classified Forest,1,1,1,3,2041-2070
Mount Nimba,CIV,Integral National Reserve,1,1,1,3,2041-2070
Mt. De,CIV,Classified Forest,1,1,1,3,2041-2070
Ndokouassikro,CIV,Classified Forest,1,0,1,2,2041-2070
Nimba West,LBR,National Park,0,1,1,2,2041-2070
Niouniourou,CIV,Classified Forest,0,1,1,2,2041-2070
Oasis du Kawar,NER,"Ramsar Site, Wetland of International Importance",1,1,0,2,2041-2070
Obotumfo Hills,GHA,Forest Reserve,1,1,0,2,2041-2070
Obrachere,GHA,Forest Reserve,1,1,0,2,2041-2070
Opimbo,GHA,Forest Reserve,1,1,0,2,2041-2070
Wologizi,LBR,National Park,1,1,0,2,2041-2070
